continue,"
vi.持续；逗留；维持原状vt.延期；使延伸；使持续；继续说第三人称单数：continues过去式：continued过去分词：continued现在分词：continuing
"
cookie,"
n.饼干；小甜点；吸引人的年轻妇女；甜面包复数：cookies易混淆的单词：Cookie
"
cookies,"
n.[美]甜饼干，（苏格兰）一种小面包；[俚]家伙，人；饼干( cookie的名词复数 )；人（尤指男人）；饼干( cooky的名词复数 )易混淆的单词：Cookies
"
coolest,"
adj.冷静的( cool的最高级 )；冷漠的；凉快的；孤傲冷漠的
"
correct,"
adj.正确的；合适的；符合公认准则的；得体的v.改正；批改；指出错误第三人称单数：corrects过去式：corrected过去分词：corrected现在分词：correcting
"
couple,"
n.对，双；配偶，夫妻；&lt;口&gt;几个，两三个vt.&amp;vi.连在一起，连接；成双，结婚；性交，交配复数：couples第三人称单数：couples过去式：coupled过去分词：coupled现在分词：coupling易混淆的单词：COUPLE
"
course,"
n.课程；航线；行动方向；一道菜vt.快速地流动；奔流；跑过；追逐vi.沿…（方向）前进；指引航线；快跑；迅速移动复数：courses第三人称单数：courses过去式：coursed现在分词：coursing
"
cousins,"
n.堂[表]兄弟[姊妹]( cousin的名词复数 )；远亲，同辈，同胞易混淆的单词：Cousins
"
crazy,"
adj.疯狂的；不理智的；离奇的；生气的n.[俚语]疯子，怪人，政治狂人（尤指政治上持激进或极端主义态度、行为异常、不可思议的人）复数：crazies比较级：crazier最高级：craziest易混淆的单词：Crazy
"
creatures,"
n.生物，动物( creature的名词复数 )；人
"
critical,"
adj.批评的，爱挑剔的；关键的；严重的；极重要的
"
croc,"
n.&lt;口&gt;鳄鱼易混淆的单词：CROC
"
crossbow,"
n.（昔日的）石弓，弩复数：crossbows易混淆的单词：CROSSBOW
"
cruel,"
adj.残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的比较级：crueller最高级：cruellest易混淆的单词：CRUEL
"
crushing,"
adj.压倒的；决定性的；支离破碎的v.压碎，压坏( crush的现在分词)；镇压，征服；冲入(crush的现在分词)
"
daddy,"
n.爸爸；爹；甜心爸爸（在年轻女子身上乱花钱的阔老头）；老色鬼复数：daddies
"
danger,"
n.危险；危险物，威胁复数：dangers
"
dare,"
vt.敢；敢做；激（某人做某事）；问（某人）有没有胆量（做某事）vi.敢；敢于；大胆；无畏于aux.敢，竟敢n.激将，挑战第三人称单数：dares过去式：dared过去分词：dared现在分词：daring易混淆的单词：DAREDare
"
deal,"
vt.[牌戏]分；分配；经营；施予n.（一笔）交易；许多；待遇；发牌vi.论述；（有效地或成功地）处理；惩处；交易adj.冷杉木制的，松木制的复数：deals第三人称单数：deals过去式：dealt过去分词：dealt现在分词：dealing易混淆的单词：DEALDeal
"
decide,"
vt.决定；决心；解决；裁决vi.决定；下决心第三人称单数：decides过去式：decided过去分词：decided现在分词：deciding
"
defeats,"
v.击败( defeat的第三人称单数 )；战胜；挫败；使困惑
"
defense,"
n.(D-)（美国）国防部，防卫，防卫物vt.谋划抵御
"
deluxe,"
adj.高级的；豪华的
"
destined,"
adj.命中注定的，预定的；去往…的v.注定(destine的过去式和过去分词)
"
destiny,"
n.命运；天命，天数；命运的三女神；主宰事物的力量复数：destinies易混淆的单词：Destiny
"
dim,"
adj.暗淡的，昏暗的；不光明的；看不清的；（性质和特征上）不显著的vt.&amp; vi.（使）变暗淡；（使）变模糊；（使）减弱；变淡漠n.笨蛋，傻子第三人称单数：dims过去式：dimmed过去分词：dimmed现在分词：dimming比较级：dimmer最高级：dimmest易混淆的单词：DimDIM
"
disagreement,"
n.分歧，意见不合；异议，争论；不一致；不适合复数：disagreements
"
disappearing,"
v.不见，消失( disappear的现在分词 )；不复存在；掩始；隐显
"
disaster,"
n.灾难；彻底的失败；不幸；祸患复数：disasters易混淆的单词：Disaster
"
distract,"
vt.使分心；使混乱第三人称单数：distracts过去式：distracted过去分词：distracted现在分词：distracting
"
dolls,"
abbr.dollars （复数）元n.（口技演员使用的）木偶( doll的名词复数 )；玩偶；纨绔子弟；漂亮的姑娘v.把…打扮漂亮( doll的第三人称单数 )易混淆的单词：Dolls
"
dolphin's,None
dolphin-style,None
doom,"
n.命运；厄运；死亡；（尤指不利的、有罪的）判决，宣判vt.注定；判定；使…的失败；宣判第三人称单数：dooms过去式：doomed过去分词：doomed现在分词：dooming易混淆的单词：Doom
"
double-dad,None
double-gong,None
dragon,"
n.龙，龙船；[D-][天文学]天龙（星座）；[口语、贬义]脾气暴躁的人复数：dragons易混淆的单词：DRAGONDragon
"
ducks,"
n.鸭( duck的名词复数 )；鸭肉；（表示友好的称呼）乖乖；（板球）零分
"
dumpling,"
n.汤团，饺子；水果布丁；矮胖的人；[用于爱称]宝贝复数：dumplings
"
dumpling-eating,None
dumplings,"
n.汤团( dumpling的名词复数 )；饺子；水果布丁；矮胖的人
"
eagle,"
n.鹰；鹰状标志；[高]比标准杆少两杆的分数v.[高]低于标准杆数两杆复数：eagles第三人称单数：eagles过去式：eagled过去分词：eagled现在分词：eagling易混淆的单词：EagleEAGLE
"
earth,None
eastern,"
adj.东方的，东部（地方）的；朝东的；来自东方的n.东方人；（美国）东部地区的人；东正教信徒复数：easterns
"
em,"
n.全身，行长单位adj.全身长（或宽）的（印刷符号）复数：ems易混淆的单词：EmEM
"
embarrassing,"
adj.使人尴尬的，令人为难的v.（使）窘迫，（使）局促不安( embarrass的现在分词)
"
emerge,"
vi.出现，浮现；暴露；摆脱第三人称单数：emerges过去式：emerged过去分词：emerged现在分词：emerging
"
emperor,"
n.皇帝，君主复数：emperors易混淆的单词：Emperor
"
enemies,"
n.仇敌( enemy的名词复数 )；敌军；危害物；大敌
"
energy,"
n.[物]能量；活力；精力；精神复数：energies
"
engage,"
vt.吸引住；聘用；与…交战vi.与…建立密切关系；衔接；从事；紧密结合第三人称单数：engages过去式：engaged过去分词：engaged现在分词：engaging
"
enlightened,"
adj.开明的；有知识的；有见识的；进步的v.启发；开导
"
entrance,"
n.入口，进口；进入；进入方法，进入方式；入场权vt.使出神，使入迷；使喜悦，使狂喜复数：entrances第三人称单数：entrances过去式：entranced过去分词：entranced现在分词：entrancing
"
eternal,"
adj.永恒的，永久的；似乎不停的，没完没了的；不朽的；永生的n.永恒的事物；Eternal 上帝，与定冠词the 连用复数：eternals
"
evacuated,"
adj.撤退者的v.撤离，疏散( evacuate的过去式和过去分词 )；排空（胃肠），排泄（粪便）；（从危险的地方）撤出，搬出，撤空
"
eventually,"
adv.终于，最后；竟；总归；终究
"
exactly,"
adv.精确地；确切地；完全地，全然；恰恰
"
expansion,"
n.扩大；扩张；扩张物；膨胀物复数：expansions
"
extra,"
adj.额外的，补充的，附加的；特大的，特别的n.附加物，额外的事物；临时演员；号外；上等产品，上品adv.额外地；格外地，特别地复数：extras易混淆的单词：EXTRA
"
facing,"
n.饰面，覆盖（如墙壁的）表面的覆饰；（衣服的）贴边v.面对( face的现在分词 )；面向…；正视；承认复数：facings
"
fail,"
vt.&amp; vi.失败，不及格；倒闭，破产；缺乏；衰退vi.衰退；失败，不及格；破产；不足vt.不及格；使失望；忘记；舍弃n.失败，失误；不及格；不及格者；[商]期货交割失期第三人称单数：fails过去式：failed过去分词：failed现在分词：failing易混淆的单词：FAIL
"
fair,"
adj.公平的；合理的；晴朗的；美丽的adv.公平地；直接地；清楚地；正大光明地n.集市，庙会；商品交易会，展览会；美人，美丽的事物vt.（卡通制作）顺利接合；（动作）衔接协调；（飞机）装配平整；使（飞机接合部）平滑vi.转晴复数：fairs第三人称单数：fairs过去式：faired过去分词：faired现在分词：fairing比较级：fairer最高级：fairest易混淆的单词：FAIR
"
farm,None
fat,"
adj.肥的；胖的；厚的；大量的n.脂肪；肥肉；动植物油vt.养肥；在…中加入脂肪vi.长肥复数：fats第三人称单数：fats过去式：fatted过去分词：fatted现在分词：fatting比较级：fatter最高级：fattest易混淆的单词：FAT
"
fate,"
n.命运，宿命；灾难，死亡；命中注定的事（尤指坏事）v.注定复数：fates第三人称单数：fates过去式：fated过去分词：fated现在分词：fating易混淆的单词：FATEFate
"
fault,"
n.缺点，缺陷；过错，责任；[电]故障；（猎狗的）失去嗅迹vt.挑剔，找…的缺点；批评；做错，在…中出错；[地质学]产生断层vi.找错误，挑剔；[地质学]变动从而产生断层复数：faults第三人称单数：faults过去式：faulted过去分词：faulted现在分词：faulting
"
feast,"
n.盛会；宴会；宗教节日；使人欢快的事物（或活动）vi.大吃大喝，享用美食；参加宴会vt.款待（某人），宴请（某人）复数：feasts第三人称单数：feasts过去式：feasted现在分词：feasting易混淆的单词：FEASTFeast
"
feet,"
n.脚( foot的名词复数 )；底部；英尺(=
1
2 英寸或 
30.
4
8 厘米)；脚步
"
felt,"
n.毛毡v.摸索( feel的过去式和过去分词 )；触；深感；以为易混淆的单词：FELTFelt
"
figure,"
n.数字；算术；人物；身材vi.计算；出现；扮演角色vt.计算在内；估计；推测；认为复数：figures第三人称单数：figures过去式：figured过去分词：figured现在分词：figuring
"
figures,"
n. 数字（ figure的名词复数 ）；算术；人物；轮廓v.计算（ figure的第三人称单数） ；认为
"
fit,"
vt.&amp; vi.（使）适合；安装；合身adj.合适的；恰当的；合身的；健壮的n.合身；适合；匹配；发作复数：fits第三人称单数：fits过去式：fitted过去分词：fitted现在分词：fitting比较级：fitter最高级：fittest易混淆的单词：FIT
"
flammable,"
adj.易燃的，可燃的
"
flip,"
vt.轻弹，轻击；按（开关）；快速翻转；急挥vi.发疯；急动；捻；蹦蹦跳跳n.浏览；空翻；（射击时枪管的）跳跃；轻抛adj.[口语]无礼的，轻率的，油腔滑调的；冒失的，鲁莽的第三人称单数：flips过去式：flipped过去分词：flipped现在分词：flipping比较级：flipper最高级：flippest易混淆的单词：FLIP
"
focus,"
vt.&amp; vi.（使）集中，（使）聚集；调整（镜头，眼睛）焦点[焦距]以便看清vt.调整（眼睛或者镜头的）焦距；集中（光束于）；聚焦，注视；集中注意力n.焦点；影象的清晰度；（活动、注意力、兴趣等的）中心；[医]病灶，病症复数：foci第三人称单数：focuses过去式：focused过去分词：focused现在分词：focusing易混淆的单词：FOCUS
"
foe,"
n.敌人，仇敌；危害物；反对者复数：foes易混淆的单词：FOE
"
fools,"
n.愚人( fool的名词复数 )；傻瓜；（旧时国王或王后豢养供人娱乐的）小丑；奶油果泥v.愚弄，耍弄( fool的第三人称单数 )；欺骗；开玩笑；说蠢话，干傻事（常为逗乐）易混淆的单词：Fools
"
fragile,"
adj.易碎的，脆的；虚弱的易混淆的单词：Fragile
"
franchise,"
n.选举权；参政权；特许权；经销权vt.赋予特权；赋予公民权复数：franchises第三人称单数：franchises过去式：franchised过去分词：franchised现在分词：franchising
"
fu,"
趺易混淆的单词：FufUFU
"
"fu""","
趺易混淆的单词：FufUFU
"
fulfilled,"
adj.满足的，个人志向得以实现的v.满足( fulfil的过去式和过去分词 )；执行；尽到；应验
"
fur,"
n.毛皮；软毛；毛皮衣服；人造毛adj.含羊毛的vt.用毛皮覆盖；除去（锅上的）水垢复数：furs第三人称单数：furs过去式：furred现在分词：furring易混淆的单词：FurFUR
"
future,"
adj.将来的，未来的；[语法学]将来时的n.前途；[美国俚语]未婚妻；期货复数：futures
"
gather,"
vt.收集；聚集，搜集；收紧，收缩；采集vi.逐渐增加，积聚n.聚集；衣褶第三人称单数：gathers过去式：gathered过去分词：gathered现在分词：gathering
"
general,"
adj.大致的；综合的；总的，全体的；普遍的n.上将；一般；一般原则；常规复数：generals易混淆的单词：General
"
giant,"
n.巨人，大汉；巨兽，巨物；卓越人物adj.特大的，巨大的；伟大的复数：giants易混淆的单词：GIANTGiant
"
glad,"
adj.高兴的，乐意的；令人高兴的，使人愉快的；（风光）明媚的，（景色）美丽的；充满欢乐的，兴高采烈的vt.使高兴第三人称单数：glads过去式：gladded过去分词：gladded现在分词：gladding易混淆的单词：GladGLAD
"
goose,"
n.鹅；鹅肉；雌鹅；傻瓜v.拧或掐屁股；忽然加满油； 催促复数：geese第三人称单数：gooses过去式：goosed过去分词：goosed现在分词：goosing易混淆的单词：Goose
"
gosh,"
int.&lt;非正&gt;（表示惊讶）哎呀！；天啊
"
gotcha,"
n.&lt;口&gt;我已经得到你
"
grab,"
vt.&amp; vi.抢先，抢占vt.夺取或抓住；抢夺，霸占；匆匆拿走；〈俚〉吸引注意力vi.抓住，攫取；夺取n.不法所得；被抓住的人；抓取装置复数：grabs第三人称单数：grabs过去式：grabbed过去分词：grabbed现在分词：grabbing易混淆的单词：GRAB
"
grandma,"
n.奶奶，外婆na.&lt;口&gt;奶奶，外婆复数：grandmas易混淆的单词：Grandma
"
greatness,"
n.伟大；崇高；著名；大
"
greeny,"
adj.呈绿色的
"
ground,"
n.地面，土地；基础；范围；阵地，战场vi.搁浅，停飞；着陆vt.把…放在地上；在…的基础树立上；交给…基本知识；使…受初步训练v.grind的过去式和过去分词复数：grounds第三人称单数：grounds过去式：grounded过去分词：grounded现在分词：grounding
"
grounds,"
n.庭院；理由；渣滓；泥土( ground的名词复数 )；地面；[航海学]底；（工作、讨论等的）范围
"
groveling,"
adj.匍匐的，卑躬屈节的
"
ha-ha,"
int.哈哈！n.矮墙
"
hammocks,"
n.吊床( hammock的名词复数 )
"
handsome,"
adj.英俊的，健美的；美观的；大方的；数量大的 比较级：handsomer最高级：handsomest
"
hat,"
n.帽子；（帽子所表示的）职位，职务vt.给…戴上帽子，为…提供帽子vi.供应帽子；制造帽子复数：hats第三人称单数：hats过去式：hatted过去分词：hatted现在分词：hatting易混淆的单词：HatHAT
"
hates,"
v.憎恨( hate的第三人称单数 )；讨厌；不愿；为…感到抱歉
"
hawk,"
n.霍克；鹰；鹰派人物，主战派；掠夺别人的人，骗子vt.通过叫卖主动兜售（货物）；清除嗓子中的（痰）vi.清嗓，咳痰；用训练好的鹰狩猎；象鹰一样俯冲攻击；叫卖复数：hawks第三人称单数：hawks过去式：hawked过去分词：hawked现在分词：hawking易混淆的单词：HawkHAWK
"
heal,"
vt.恢复健康的状态；使恢复正常；使（某人）精神恢复健康vi.变得完整和健全第三人称单数：heals过去式：healed过去分词：healed现在分词：healing易混淆的单词：HealHEAL
"
healing,"
n.康复，复原adj.有治疗功用的v.（使）愈合( heal的现在分词 )；治愈；（使）结束；较容易忍受易混淆的单词：Healing
"
healthy,"
adj.健康的；健全的；大量的；有益于健康的比较级：healthier最高级：healthiest
"
heard,"
v.听到，听见( hear的过去式和过去分词 )；听说；得知；听取易混淆的单词：Heard
"
helmets,"
n.头盔( helmet的名词复数 )
"
hence,"
adv.因此，所以；从此；从此处int.&lt;诗&gt;去易混淆的单词：HenceHeNCE
"
high-fiving,None
hill,"
n.小山，山冈；斜坡v.把…堆成小山；培土于…周围复数：hills易混淆的单词：Hill
"
hinge,"
n.铰链，折叶；关键，转折点；枢要，中枢vt.&amp; vi.用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰vi.依…而转移复数：hinges第三人称单数：hinges过去式：hinged过去分词：hinged现在分词：hinging易混淆的单词：Hinge
"
hinges,"
n.铰链( hinge的名词复数 )
"
hmm,"
abbr.hidden Markov model 隐马尔科夫模型；hard-magnetic material 硬磁材料；high molecular mass 高分子物质；hexamethylol melamine 六羟甲基蜜胺
"
ho,"
int.引人注意，表示惊讶，满足易混淆的单词：HoHO
"
hole,"
n.洞，孔；洞穴，穴；缺陷；&lt;口&gt;绝境vt.&amp; vi.（在…上）打洞或穿孔vi.凿洞；（高尔夫球等）进洞复数：holes第三人称单数：holes过去式：holed过去分词：holed现在分词：holing易混淆的单词：Hole
"
honor,"
n.尊敬；光荣；节操；荣誉v.尊敬；给予表扬；信守；执行第三人称单数：honors过去式：honored过去分词：honored现在分词：honoring
"
hug,"
vt.&amp; vi.热烈地拥抱，抱住，紧抱vt.紧靠…走；抱有，持有n.紧抱，热烈拥抱vi.缠紧，缚紧（某物，尤指人体）复数：hugs第三人称单数：hugs过去式：hugged过去分词：hugged现在分词：hugging易混淆的单词：HUG
"
hugs,"
n.紧抱，热烈拥抱( hug的名词复数 )v.热烈地拥抱，抱住，紧抱( hug的第三人称单数 )；紧靠…走；抱有，持有；缠紧，缚紧（某物，尤指人体）
"
huh,"
int.嘿（表示疑问、惊讶或异议）
"
humiliated,"
adj.感到羞愧的v.使蒙羞，羞辱，使丢脸( humiliate的过去式和过去分词 )
"
humiliating,"
adj.丢脸的；羞辱性的v.“humiliate”的现在分词
"
idiot,"
n.傻瓜，笨蛋；白痴复数：idiots易混淆的单词：IDIOT
"
idiots,"
n.傻子，笨蛋( idiot的名词复数 )；白痴
"
immovable,"
adj.不可移动的；固定的；坚强的；不动摇的n.不动的事物；不可移动的东西复数：immovables
"
impenetrable,"
adj.不能通过的；不能理解的；无动于衷的；顽固的，不接受的
"
incredible,"
adj.不可思议的；惊人的；难以置信的；未必可能的比较级：more incredible最高级：most incredible
"
infamous,"
adj.声名狼藉的；无耻的，伤风败俗的；[法]（因犯重罪）被剥夺公权的；很差的，低劣的易混淆的单词：Infamous
"
insect,"
n.虫，昆虫；卑鄙的人；微贱的人，小人adj.昆虫的；卑劣的复数：insects
"
instance,"
n.例子，实例；情况；要求，建议；[法]诉讼手续vt.举…为例复数：instances第三人称单数：instances过去式：instanced过去分词：instanced现在分词：instancing
"
instruction,"
n.授课；教诲；传授的或获得的知识，课程；[计算机科学]指令复数：instructions
"
interrupt,"
vt.&amp; vi.打断（别人的话等）；阻止；截断vt.暂停；中断；打扰；妨碍vi.打断n.中断；暂停第三人称单数：interrupts过去式：interrupted过去分词：interrupted现在分词：interrupting
"
invited,"
v.邀请( invite的过去式和过去分词 )；请求；引诱；招致
"
itchy,"
adj.（使）发痒的；渴望旅行（或搬家、换工作等）
"
jacket,"
n.短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹vt.给…穿夹克；给…装护套；给…包上护封；〈口〉打复数：jackets第三人称单数：jackets过去式：jacketed过去分词：jacketed现在分词：jacketing
"
